"PowerUsage","Day","Month","Year","DeviceID","Time"
2.58,1,1,2023,1,0
2.55,1,1,2023,2,0
2.534,1,1,2023,3,0
2.486,1,1,2023,4,0
2.494,1,1,2023,5,0
2.478,1,1,2023,6,0
2.456,1,1,2023,7,0
2.55,1,1,2023,8,0
2.682,1,1,2023,9,0
2.654,1,1,2023,10,0
2.648,1,1,2023,11,0
2.656,1,1,2023,12,0
2.63,1,1,2023,13,0
2.602,1,1,2023,14,0
2.6,1,1,2023,15,0
2.598,1,1,2023,16,0
2.484,1,1,2023,17,0
2.486,1,1,2023,18,0
2.48,1,1,2023,19,0
2.462,1,1,2023,20,0
2.466,1,1,2023,1,1
2.576,1,1,2023,2,1
2.56,1,1,2023,3,1
2.558,1,1,2023,4,1
2.57,1,1,2023,5,1
2.502,1,1,2023,6,1
2.482,1,1,2023,7,1
2.58,1,1,2023,8,1
2.57,1,1,2023,9,1
2.504,1,1,2023,10,1
2.448,1,1,2023,11,1
2.452,1,1,2023,12,1
2.444,1,1,2023,13,1
2.546,1,1,2023,14,1
2.552,1,1,2023,15,1
2.548,1,1,2023,16,1
2.55,1,1,2023,17,1
2.548,1,1,2023,18,1
2.48,1,1,2023,19,1
2.464,1,1,2023,20,1
2.504,1,1,2023,1,2
2.566,1,1,2023,2,2
2.576,1,1,2023,3,2
2.514,1,1,2023,4,2
2.518,1,1,2023,5,2
2.54,1,1,2023,6,2
2.618,1,1,2023,7,2
2.632,1,1,2023,8,2
2.614,1,1,2023,9,2
2.584,1,1,2023,10,2
2.514,1,1,2023,11,2
2.522,1,1,2023,12,2
2.532,1,1,2023,13,2
2.5,1,1,2023,14,2
2.576,1,1,2023,15,2
2.654,1,1,2023,16,2
2.624,1,1,2023,17,2
2.592,1,1,2023,18,2
2.696,1,1,2023,19,2
2.68,1,1,2023,20,2
2.648,1,1,2023,1,3
2.67,1,1,2023,2,3
2.662,1,1,2023,3,3
2.57,1,1,2023,4,3
2.558,1,1,2023,5,3
2.506,1,1,2023,6,3
2.54,1,1,2023,7,3
2.8,1,1,2023,8,3
2.554,1,1,2023,9,3
2.536,1,1,2023,10,3
2.522,1,1,2023,11,3
2.532,1,1,2023,12,3
2.538,1,1,2023,13,3
2.54,1,1,2023,14,3
2.542,1,1,2023,15,3
2.45,1,1,2023,16,3
2.46,1,1,2023,17,3
2.456,1,1,2023,18,3
2.45,1,1,2023,19,3
2.43,1,1,2023,20,3
2.4,1,1,2023,1,4
2.474,1,1,2023,2,4
2.474,1,1,2023,3,4
2.574,1,1,2023,4,4
2.498,1,1,2023,5,4
2.486,1,1,2023,6,4
2.488,1,1,2023,7,4
2.464,1,1,2023,8,4
2.406,1,1,2023,9,4
2.398,1,1,2023,10,4
2.412,1,1,2023,11,4
2.422,1,1,2023,12,4
2.42,1,1,2023,13,4
2.434,1,1,2023,14,4
2.468,1,1,2023,15,4
2.548,1,1,2023,16,4
2.598,1,1,2023,17,4
2.508,1,1,2023,18,4
2.508,1,1,2023,19,4
2.516,1,1,2023,20,4
2.436,1,1,2023,1,5
2.442,1,1,2023,2,5
2.428,1,1,2023,3,5
2.488,1,1,2023,4,5
2.524,1,1,2023,5,5
2.506,1,1,2023,6,5
2.484,1,1,2023,7,5
2.488,1,1,2023,8,5
2.652,1,1,2023,9,5
2.652,1,1,2023,10,5
2.644,1,1,2023,11,5
2.584,1,1,2023,12,5
2.526,1,1,2023,13,5
2.38,1,1,2023,14,5
2.396,1,1,2023,15,5
2.4,1,1,2023,16,5
2.4,1,1,2023,17,5
2.416,1,1,2023,18,5
2.38,1,1,2023,19,5
2.364,1,1,2023,20,5
2.46,1,1,2023,1,6
2.49,1,1,2023,2,6
2.544,1,1,2023,3,6
2.548,1,1,2023,4,6
2.546,1,1,2023,5,6
2.374,1,1,2023,6,6
2.392,1,1,2023,7,6
2.402,1,1,2023,8,6
2.394,1,1,2023,9,6
2.388,1,1,2023,10,6
2.402,1,1,2023,11,6
2.4,1,1,2023,12,6
2.392,1,1,2023,13,6
2.474,1,1,2023,14,6
2.498,1,1,2023,15,6
2.5,1,1,2023,16,6
2.538,1,1,2023,17,6
2.516,1,1,2023,18,6
2.476,1,1,2023,19,6
2.396,1,1,2023,20,6
2.396,1,1,2023,1,7
2.386,1,1,2023,2,7
2.362,1,1,2023,3,7
2.364,1,1,2023,4,7
2.362,1,1,2023,5,7
2.488,1,1,2023,6,7
2.476,1,1,2023,7,7
2.464,1,1,2023,8,7
2.472,1,1,2023,9,7
2.444,1,1,2023,10,7
2.422,1,1,2023,11,7
2.43,1,1,2023,12,7
2.508,1,1,2023,13,7
2.442,1,1,2023,14,7
2.468,1,1,2023,15,7
2.442,1,1,2023,16,7
2.432,1,1,2023,17,7
2.45,1,1,2023,18,7
2.536,1,1,2023,19,7
2.534,1,1,2023,20,7
2.532,1,1,2023,1,8
2.474,1,1,2023,2,8
2.448,1,1,2023,3,8
2.452,1,1,2023,4,8
2.45,1,1,2023,5,8
2.456,1,1,2023,6,8
2.372,1,1,2023,7,8
2.364,1,1,2023,8,8
2.392,1,1,2023,9,8
2.388,1,1,2023,10,8
2.49,1,1,2023,11,8
2.478,1,1,2023,12,8
2.492,1,1,2023,13,8
2.472,1,1,2023,14,8
2.476,1,1,2023,15,8
2.392,1,1,2023,16,8
2.394,1,1,2023,17,8
2.47,1,1,2023,18,8
2.458,1,1,2023,19,8
2.454,1,1,2023,20,8
2.384,1,1,2023,1,9
2.362,1,1,2023,2,9
2.364,1,1,2023,3,9
2.444,1,1,2023,4,9
2.468,1,1,2023,5,9
2.456,1,1,2023,6,9
2.46,1,1,2023,7,9
3.498,1,1,2023,8,9
3.38,1,1,2023,9,9
3.442,1,1,2023,10,9
3.506,1,1,2023,11,9
3.512,1,1,2023,12,9
3.522,1,1,2023,13,9
3.44,1,1,2023,14,9
3.456,1,1,2023,15,9
3.5,1,1,2023,16,9
3.526,1,1,2023,17,9
3.542,1,1,2023,18,9
3.502,1,1,2023,19,9
3.468,1,1,2023,20,9
3.48,1,1,2023,1,10
3.5,1,1,2023,2,10
3.482,1,1,2023,3,10
2.498,1,1,2023,4,10
2.482,1,1,2023,5,10
2.47,1,1,2023,6,10
2.746,1,1,2023,7,10
2.284,1,1,2023,8,10
2.42,1,1,2023,9,10
2.394,1,1,2023,10,10
2.616,1,1,2023,11,10
2.63,1,1,2023,12,10
2.636,1,1,2023,13,10
2.542,1,1,2023,14,10
2.538,1,1,2023,15,10
2.544,1,1,2023,16,10
2.614,1,1,2023,17,10
2.592,1,1,2023,18,10
2.602,1,1,2023,19,10
2.498,1,1,2023,20,10
2.51,1,1,2023,1,11
2.602,1,1,2023,2,11
2.596,1,1,2023,3,11
2.618,1,1,2023,4,11
2.624,1,1,2023,5,11
2.6,1,1,2023,6,11
2.536,1,1,2023,7,11
2.526,1,1,2023,8,11
2.532,1,1,2023,9,11
2.604,1,1,2023,10,11
2.602,1,1,2023,11,11
2.598,1,1,2023,12,11
2.522,1,1,2023,13,11
2.608,1,1,2023,14,11
2.612,1,1,2023,15,11
2.592,1,1,2023,16,11
2.584,1,1,2023,17,11
2.584,1,1,2023,18,11
2.522,1,1,2023,19,11
2.532,1,1,2023,20,11
2.478,1,1,2023,1,12
2.508,1,1,2023,2,12
2.588,1,1,2023,3,12
2.57,1,1,2023,4,12
2.562,1,1,2023,5,12
2.49,1,1,2023,6,12
2.616,1,1,2023,7,12
2.628,1,1,2023,8,12
2.628,1,1,2023,9,12
2.684,1,1,2023,10,12
2.7,1,1,2023,11,12
2.61,1,1,2023,12,12
2.608,1,1,2023,13,12
2.64,1,1,2023,14,12
2.614,1,1,2023,15,12
2.69,1,1,2023,16,12
2.694,1,1,2023,17,12
2.716,1,1,2023,18,12
2.562,1,1,2023,19,12
2.648,1,1,2023,20,12
2.662,1,1,2023,1,13
2.612,1,1,2023,2,13
2.632,1,1,2023,3,13
2.574,1,1,2023,4,13
2.512,1,1,2023,5,13
2.512,1,1,2023,6,13
2.528,1,1,2023,7,13
2.556,1,1,2023,8,13
2.556,1,1,2023,9,13
2.622,1,1,2023,10,13
2.614,1,1,2023,11,13
2.676,1,1,2023,12,13
2.644,1,1,2023,13,13
2.63,1,1,2023,14,13
2.638,1,1,2023,15,13
2.622,1,1,2023,16,13
2.26,1,1,2023,17,13
0.238,1,1,2023,18,13
0.214,1,1,2023,19,13
0.206,1,1,2023,20,13
1.164,1,1,2023,1,14
0.556,1,1,2023,2,14
0.626,1,1,2023,3,14
0.618,1,1,2023,4,14
0.61,1,1,2023,5,14
0.536,1,1,2023,6,14
0.534,1,1,2023,7,14
0.504,1,1,2023,8,14
0.44,1,1,2023,9,14
0.442,1,1,2023,10,14
1.44,1,1,2023,11,14
1.276,1,1,2023,12,14
1.416,1,1,2023,13,14
1.496,1,1,2023,14,14
1.504,1,1,2023,15,14
1.51,1,1,2023,16,14
1.912,1,1,2023,17,14
2.752,1,1,2023,18,14
2.732,1,1,2023,19,14
2.688,1,1,2023,20,14
2.686,1,1,2023,1,15
2.686,1,1,2023,2,15
2.676,1,1,2023,3,15
2.666,1,1,2023,4,15
2.644,1,1,2023,5,15
2.648,1,1,2023,6,15
2.646,1,1,2023,7,15
2.714,1,1,2023,8,15
2.716,1,1,2023,9,15
1.424,1,1,2023,10,15
1.38,1,1,2023,11,15
1.378,1,1,2023,12,15
1.362,1,1,2023,13,15
1.262,1,1,2023,14,15
1.274,1,1,2023,15,15
1.272,1,1,2023,16,15
1.274,1,1,2023,17,15
1.27,1,1,2023,18,15
1.35,1,1,2023,19,15
1.334,1,1,2023,20,15
1.338,1,1,2023,1,16
1.388,1,1,2023,2,16
1.372,1,1,2023,3,16
1.372,1,1,2023,4,16
1.354,1,1,2023,5,16
1.358,1,1,2023,6,16
1.356,1,1,2023,7,16
1.25,1,1,2023,8,16
1.264,1,1,2023,9,16
1.256,1,1,2023,10,16
1.262,1,1,2023,11,16
1.342,1,1,2023,12,16
1.366,1,1,2023,13,16
1.378,1,1,2023,14,16
1.472,1,1,2023,15,16
1.584,1,1,2023,16,16
1.554,1,1,2023,17,16
1.41,1,1,2023,18,16
1.38,1,1,2023,19,16
1.708,1,1,2023,20,16
1.71,1,1,2023,1,17
1.598,1,1,2023,2,17
1.582,1,1,2023,3,17
1.568,1,1,2023,4,17
1.632,1,1,2023,5,17
1.728,1,1,2023,6,17
1.73,1,1,2023,7,17
1.726,1,1,2023,8,17
1.774,1,1,2023,9,17
2.358,1,1,2023,10,17
2.188,1,1,2023,11,17
1.574,1,1,2023,12,17
1.564,1,1,2023,13,17
1.564,1,1,2023,14,17
1.508,1,1,2023,15,17
1.39,1,1,2023,16,17
1.472,1,1,2023,17,17
1.466,1,1,2023,18,17
1.462,1,1,2023,19,17
1.402,1,1,2023,20,17
1.416,1,1,2023,1,18
1.434,1,1,2023,2,18
1.41,1,1,2023,3,18
1.498,1,1,2023,4,18
1.512,1,1,2023,5,18
1.5,1,1,2023,6,18
1.496,1,1,2023,7,18
1.504,1,1,2023,8,18
1.504,1,1,2023,9,18
1.5,1,1,2023,10,18
1.466,1,1,2023,11,18
1.472,1,1,2023,12,18
1.41,1,1,2023,13,18
1.4,1,1,2023,14,18
1.402,1,1,2023,15,18
1.422,1,1,2023,16,18
1.42,1,1,2023,17,18
1.518,1,1,2023,18,18
1.492,1,1,2023,19,18
1.508,1,1,2023,20,18
1.504,1,1,2023,1,19
1.514,1,1,2023,2,19
1.534,1,1,2023,3,19
1.472,1,1,2023,4,19
1.474,1,1,2023,5,19
1.452,1,1,2023,6,19
0.358,1,1,2023,7,19
0.358,1,1,2023,8,19
0.356,1,1,2023,9,19
0.358,1,1,2023,10,19
0.36,1,1,2023,11,19
0.47,1,1,2023,12,19
0.464,1,1,2023,13,19
0.544,1,1,2023,14,19
0.538,1,1,2023,15,19
0.532,1,1,2023,16,19
0.604,1,1,2023,17,19
0.508,1,1,2023,18,19
0.508,1,1,2023,19,19
0.432,1,1,2023,20,19
0.44,1,1,2023,1,20
0.434,1,1,2023,2,20
0.358,1,1,2023,3,20
0.354,1,1,2023,4,20
0.354,1,1,2023,5,20
0.468,1,1,2023,6,20
0.464,1,1,2023,7,20
0.458,1,1,2023,8,20
0.456,1,1,2023,9,20
0.53,1,1,2023,10,20
0.536,1,1,2023,11,20
0.44,1,1,2023,12,20
0.368,1,1,2023,13,20
0.362,1,1,2023,14,20
0.358,1,1,2023,15,20
0.366,1,1,2023,16,20
0.362,1,1,2023,17,20
0.366,1,1,2023,18,20
0.362,1,1,2023,19,20
0.474,1,1,2023,20,20
0.47,1,1,2023,1,21
0.466,1,1,2023,2,21
0.456,1,1,2023,3,21
0.534,1,1,2023,4,21
0.53,1,1,2023,5,21
0.434,1,1,2023,6,21
0.358,1,1,2023,7,21
0.366,1,1,2023,8,21
0.362,1,1,2023,9,21
0.36,1,1,2023,10,21
0.362,1,1,2023,11,21
0.368,1,1,2023,12,21
0.364,1,1,2023,13,21
0.47,1,1,2023,14,21
0.462,1,1,2023,15,21
0.458,1,1,2023,16,21
0.534,1,1,2023,17,21
0.53,1,1,2023,18,21
0.528,1,1,2023,19,21
0.368,1,1,2023,20,21
0.362,1,1,2023,1,22
0.36,1,1,2023,2,22
0.444,1,1,2023,3,22
0.444,1,1,2023,4,22
0.44,1,1,2023,5,22
0.442,1,1,2023,6,22
0.438,1,1,2023,7,22
0.548,1,1,2023,8,22
0.546,1,1,2023,9,22
0.61,1,1,2023,10,22
0.614,1,1,2023,11,22
0.538,1,1,2023,12,22
0.476,1,1,2023,13,22
0.372,1,1,2023,14,22
0.376,1,1,2023,15,22
0.376,1,1,2023,16,22
0.372,1,1,2023,17,22
0.386,1,1,2023,18,22
0.384,1,1,2023,19,22
0.374,1,1,2023,20,22
0.372,1,1,2023,1,23
0.484,1,1,2023,2,23
0.478,1,1,2023,3,23
0.548,1,1,2023,4,23
0.544,1,1,2023,5,23
0.544,1,1,2023,6,23
0.456,1,1,2023,7,23
0.376,1,1,2023,8,23
0.378,1,1,2023,9,23
0.378,1,1,2023,10,23
0.376,1,1,2023,11,23
